pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20022,Abbotsford/ Yarra - North,9.713546415478614,16639.161136484003
20023,Carlton North - Princes Hill/ Fitzroy North,10.73280884797627,23197.85191172347
20024,Collingwood/ Fitzroy,13.045234322766209,31861.037237456083
20025,Richmond (Vic.),11.270346361621938,20680.380117389
20026,Ashburton (Vic.),9.007682142567493,15618.478691605615
20027,Balwyn/ Balwyn North,9.580126547184209,15253.918683428465
20028,Camberwell/ Surrey Hills (West) - Canterbury,8.70168196104106,15873.866078375806
20029,Glen Iris - East,8.408162961813101,17717.543037859392
20030,Hawthorn,10.586670091053303,13805.249389270994
20031,Kew,8.834655612398919,15711.926991397222
20032,Bulleen/ Doncaster,10.879023269123044,19337.63852261153
20033,Doncaster East,10.584483286445804,17891.947801765287
20034,Templestowe/ Templestowe Lower,10.731684506730002,19647.20762769176
20035,Blackburn/ Blackburn South,11.923137773312511,18389.656820475735
20036,Box Hill/ Box Hill North,11.511083764029404,20143.705519535742
20037,Burwood/ Burwood East,12.157060749902984,19779.05191000428
20038,Surrey Hills (East) - Mont Albert,8.995731972707526,9131.153005934117
20039,Beaumaris/ Sandringham - Black Rock,8.486412503436764,21861.038120510686
20040,Brighton (Vic.)/ Brighton East,8.545902113196451,17110.789582538368
20041,Cheltenham - Highett (West),10.196460238950614,24867.691459654885
20042,Hampton,9.05478757020663,24027.362082814972
20043,Bentleigh - McKinnon/ Bentleigh East,12.96907731102504,18096.353966911236
20044,Carnegie/ Ormond - Glen Huntly,11.715631867556443,17840.501491378094
20045,Caulfield - North/ Caulfield - South,11.666252389376716,15202.489244036773
20046,Elsternwick,11.489239563323661,19016.884809174215
20047,Hughesdale,12.321039976522451,19172.266780365368
20048,Murrumbeena,11.749026212656469,18415.540041829085
20049,Kingston - Central,11.190352410145138,20877.584763575298
20050,Carrum - Patterson Lakes,13.207771854482955,22299.577060594285
20051,Chelsea - Bonbeach/ Chelsea Heights,13.053894806555078,22260.656973179262
20052,Kingston - North,11.645374815799007,23643.942942196692
20053,Malvern - Glen Iris/ Malvern East,9.80186116028585,9725.082030542608
20054,Bundoora - East/ Watsonia,13.570673872355146,47450.3140694826
20055,Greensborough/ Montmorency - Briar Hill,12.706569695670868,25282.491852676034
20056,Heidelberg - Rosanna/ Viewbank - Yallambie,12.109197651710458,24971.60803843635
20057,Heidelberg West,15.8712642133554,31782.55072216262
20058,Ivanhoe,8.751396427740493,25082.49947779865
20059,Ivanhoe East - Eaglemont,8.235635037066476,18449.54160494389
20060,Kingsbury,12.10388103103727,9046.665648059156
20061,Preston,13.831444259742213,27422.554317989012
20062,Reservoir - East,13.753132962537899,55793.77797751181
20063,Reservoir - West,13.457379113888432,179.26541923647525
20064,Eltham,11.94942305294994,21018.473810509327
20065,Hurstbridge/ Panton Hill/ Research,12.495094312377452,19969.222940160183
20066,Kinglake,15.489150139991143,23734.770875389844
20067,Plenty - Yarrambat/ Wattle Glen - Diamond Creek,12.133260254994052,17136.95082762527
20068,Bundoora - North,12.931956702222084,
20069,Bundoora - West,13.639137100009732,
20070,Epping / Wollert,18.50228498845528,29787.91304554681
20071,Lalor/ Thomastown,16.123117382775696,32350.063375856236
20072,Mill Park - North,14.504766318030628,46269.19173147381
